Years	Count
2026	91
2025	10550
2024	14969
2023	13738
2022	13153
2021	12416
2020	10734
2019	9650
2018	8398
2017	7609
2016	7041
2015	6542
2014	6094
2013	6279
2012	5696
2011	5324
2010	5179
2009	4947
2008	4516
2007	4180
2006	4064
2005	3712
2004	3223
2003	3095
2002	2832
2001	2916
2000	2500
1999	2532
1998	2392
1997	2394
1996	2460
1995	1826
1994	1664
1993	1641
1992	1524
1991	1315
1990	1171
1989	1012
1988	810
1987	711
1986	566
1985	447
1984	342
1983	166
1982	84
1981	68
1980	41
1979	21
1978	16
1977	4
1976	2
1975	6
