Years	Count	Percent
2026	11	0.024
2025	1701	3.766
2024	2532	5.606
2023	2321	5.139
2022	2388	5.287
2021	2353	5.210
2020	2040	4.517
2019	1992	4.411
2018	1715	3.797
2017	1577	3.492
2016	1542	3.414
2015	1517	3.359
2014	1283	2.841
2013	1338	2.963
2012	1311	2.903
2011	1238	2.741
2010	1210	2.679
2009	1247	2.761
2008	1180	2.613
2007	1110	2.458
2006	1048	2.320
2005	932	2.064
2004	937	2.075
2003	898	1.988
2002	880	1.948
2001	888	1.966
2000	843	1.867
1999	834	1.847
1998	833	1.844
1997	821	1.818
1996	844	1.869
1995	731	1.619
1994	724	1.603
1993	677	1.499
1992	626	1.386
1991	536	1.187
1990	139	0.308
1989	86	0.190
1988	70	0.155
1987	52	0.115
1986	52	0.115
1985	42	0.093
1984	27	0.060
1983	17	0.038
1982	3	0.007
1981	4	0.009
1980	2	0.004
1979	2	0.004
1978	4	0.009
1977	2	0.004
1976	2	0.004
1975	2	0.004
