Years	Count	Percent
2025	53	3.665
2024	91	6.293
2023	72	4.979
2022	90	6.224
2021	58	4.011
2020	79	5.463
2019	91	6.293
2018	71	4.910
2017	64	4.426
2016	79	5.463
2015	64	4.426
2014	52	3.596
2013	54	3.734
2012	46	3.181
2011	40	2.766
2010	35	2.420
2009	46	3.181
2008	26	1.798
2007	34	2.351
2006	34	2.351
2005	32	2.213
2004	25	1.729
2003	21	1.452
2002	22	1.521
2001	25	1.729
2000	10	0.692
1999	13	0.899
1998	16	1.107
1997	17	1.176
1996	11	0.761
1995	15	1.037
1994	14	0.968
1993	10	0.692
1992	2	0.138
1991	9	0.622
1990	1	0.069
1989	1	0.069
1988	2	0.138
1987	4	0.277
1986	2	0.138
1984	2	0.138
1983	1	0.069
1982	1	0.069
1981	1	0.069
1979	1	0.069
1978	3	0.207
1972	3	0.207
1971	1	0.069
1956	2	0.138
